id,firstName,lastName,email,yearOfBirth
ddc6fb91-7de9-48c8-8eaf-ef8451f92026,Tola,Świerszcz,nchromy@kazana-wezyk.pl,1980
39a4bacc-31fd-4686-a545-204c26f77256,Ida,Bartocha,ksawery22@gabinety.com,1992
16ba3c8d-4b02-4227-b11f-c124b5cc1faf,Maks,Szlachcic,hszulim@stowarzyszenie.net,1996
68eaa385-5947-436c-b39d-78c8424014d8,Nikodem,Burchard,fryderykcichowlas@onet.pl,1993
f1003679-0618-4481-b48f-c6da30413233,Urszula,Smagacz,konstantykominiak@gabinety.pl,1977
1380804e-1c3a-442f-969e-7ab764b7f2df,Klara,Buszkiewicz,arkadiusz44@gabinety.pl,2000
cba3b1bf-8962-444f-9200-b4542ab48665,Cezary,Wilkos,dawidkrzyk@ppuh.com,2014
cc24afcc-2885-4ff2-9543-b7037424c31d,Eliza,Mich,makssacharczuk@gmail.com,1970
d732dce0-6db7-44b2-920a-945f5e2ab1d4,Oskar,Dulewicz,tola79@fundacja.pl,1997
9d9ab473-2f67-4f68-a8f2-be88334fb5cb,Eryk,Szyguła,natan03@siara.com,2024
5a2b2138-2192-4834-a5cf-3e9053130b34,Agnieszka,Palus,wojciech75@ppuh.pl,1976
6f051256-f24b-4516-b8a3-653f312dc7fe,Cyprian,Kniaź,szwalektymoteusz@spoldzielnia.com,1997
be3e9cb0-e78e-46f7-a69d-f3fc297e012d,Adrianna,Witas,orawiecewelina@spoldzielnia.pl,1991
e4a0fe96-6d8c-49e9-a655-edafd8f92f5e,Błażej,Kozok,liwiajedrzejek@fundacja.pl,2007
0c6b3028-4381-4f17-9e40-becf41f05cee,Norbert,Kacperek,ewelinatabisz@futyma.com,2022
